Pulsar ID,Pulsar Class,Age,Period (P),Period Derivative (P˙),Magnetic Field (B),Initial Period (Pinit​),Initial B Field (Binit​),Galactic Longitude (l),Galactic Latitude (b),Distance,Dispersion Measure (DM),"Proper Motion (μl​,μb​)",Kick Velocity,Is Binary,Orbital Period (Pb​),Companion Mass (Mc​),Eccentricity (e),Radio Luminosity (L1400​),Single-Pulse Lum. Dist.,Radio Beaming Fraction,Viewing Angle (ζ),Inclination Angle (α),Nulling Fraction (NF)
J1842+0114g,RRAT,,4.140000e+00,,,,,3.297888e+01,2.613914e+00,7.884000e+00,3.070000e+02,,,,,,,,,,,,
J1843-0051g,RRAT,,5.800000e-01,,,,,3.127395e+01,1.370762e+00,1.034800e+01,5.730000e+02,,,,,,,,,,,,
J1845+0326g,RRAT,,9.680000e-01,,,,,3.533652e+01,2.840014e+00,4.847000e+00,1.440000e+02,,,,,,,,,,,,
J1845+0417g,RRAT,,1.697000e+00,,,,,3.607791e+01,3.259309e+00,5.773000e+00,1.640000e+02,,,,,,,,,,,,
J1845-0008g,RRAT,,1.268000e+00,,,,,3.209440e+01,1.341894e+00,3.915000e+00,1.430000e+02,,,,,,,,,,,,
J1846-0257,RRAT,4.416882e+05,4.476723e+00,1.605870e-13,2.713222e+13,,,2.970738e+01,-1.982700e-01,4.003000e+00,2.370000e+02,,,,,,,,,,,,
J1847-0046g,RRAT,,,,,,,3.183297e+01,4.634534e-01,4.876000e+00,3.370000e+02,,,,,,,,,,,,
J1848-1243,RRAT,1.490467e+07,4.143834e-01,4.405000e-16,4.323387e+11,,,2.122384e+01,-5.080554e+00,3.149000e+00,9.196000e+01,,,,,,,,,,,,
J1849+0619g,RRAT,,2.011000e+00,,,,,3.834914e+01,3.286397e+00,4.479000e+00,1.100000e+02,,,,,,,,,,,,
J1850+15,RRAT,,1.383965e+00,,,,,4.668821e+01,7.292261e+00,1.110000e+00,2.110000e+01,,,,,,,,,,,,
J1850-0004g,RRAT,,,,,,,3.271817e+01,2.709898e-01,3.571000e+00,1.540000e+02,,,,,,,,,,,,
J1851+0051g,RRAT,,4.027000e+00,,,,,3.371450e+01,3.366822e-01,6.053000e+00,5.750000e+02,,,,,,,,,,,,
J1853+0209g,RRAT,,,,,,,3.503678e+01,6.068948e-01,5.528000e+00,3.500000e+02,,,,,,,,,,,,
J1853+0353g,RRAT,,,,,,,3.662155e+01,1.315448e+00,9.186000e+00,3.790000e+02,,,,,,,,,,,,
J1853-0130g,RRAT,,1.945000e+00,,,,,3.178813e+01,-1.057344e+00,5.576000e+00,3.440000e+02,,,,,,,,,,,,
J1854+0306,RRAT,4.976007e+05,4.557820e+00,1.451250e-13,2.602554e+13,,,3.599206e+01,8.344178e-01,4.499000e+00,1.924000e+02,,,,,,,,,,,,
J1854-1557,RRAT,1.210429e+07,3.453121e+00,4.520000e-15,3.997837e+12,,,1.901802e+01,-7.949721e+00,1.089500e+01,1.500000e+02,,,,,,,,,,,,
J1855+0033g,RRAT,,,,,,,3.383322e+01,-5.528299e-01,6.136000e+00,5.540000e+02,,,,,,,,,,,,
J1855+0240g,RRAT,,1.224000e+00,,,,,3.573583e+01,3.757074e-01,5.552000e+00,3.970000e+02,,,,,,,,,,,,
J1855-0054g,RRAT,,,,,,,3.257676e+01,-1.280754e+00,9.059000e+00,5.770000e+02,,,,,,,,,,,,
J1855-0154g,RRAT,,,,,,,3.166351e+01,-1.691895e+00,7.341000e+00,4.170000e+02,,,,,,,,,,,,
J1855-0211g,RRAT,,,,,,,3.145477e+01,-1.906185e+00,5.928000e+00,3.040000e+02,,,,,,,,,,,,
J1856+0029g,RRAT,,3.760000e-01,,,,,3.397537e+01,-9.762622e-01,4.727000e+00,2.340000e+02,,,,,,,,,,,,
J1856+0528g,RRAT,,,,,,,3.836069e+01,1.393817e+00,9.031000e+00,3.070000e+02,,,,,,,,,,,,
J1857+0229g,RRAT,,5.840000e-01,,,,,3.581205e+01,-1.746287e-01,6.071000e+00,5.740000e+02,,,,,,,,,,,,
J1858+0453g,RRAT,,3.761000e+00,,,,,3.811618e+01,5.922205e-01,6.854000e+00,4.290000e+02,,,,,,,,,,,,
J1858-0113g,RRAT,,1.532000e+00,,,,,3.269552e+01,-2.207499e+00,6.037000e+00,2.800000e+02,,,,,,,,,,,,
J1859+0239Bg,RRAT,,8.490000e-01,,,,,3.618656e+01,-5.391594e-01,7.073000e+00,6.240000e+02,,,,,,,,,,,,
J1859+0251g,RRAT,,3.580000e+00,,,,,3.639680e+01,-5.106981e-01,4.913000e+00,2.860000e+02,,,,,,,,,,,,
J1859+07,RRAT,,,,,,,4.002238e+01,1.514431e+00,1.030000e+01,3.030000e+02,,,,,,,,,,,,
J1859+0832g,RRAT,,,,,,,4.143848e+01,2.114601e+00,1.112500e+01,2.590000e+02,,,,,,,,,,,,
J1900+0732g,RRAT,,1.709000e+00,,,,,4.063862e+01,1.482093e+00,8.213000e+00,2.260000e+02,,,,,,,,,,,,
J1900+0908g,RRAT,,,,,,,4.207055e+01,2.197613e+00,1.139800e+01,2.640000e+02,,,,,,,,,,,,
J1900-0152g,RRAT,,1.384000e+00,,,,,3.235168e+01,-2.963318e+00,9.432000e+00,3.140000e+02,,,,,,,,,,,,
J1902+0557g,RRAT,,,,,,,3.953530e+01,1.653786e-01,6.083000e+00,4.140000e+02,,,,,,,,,,,,
J1903+0319g,RRAT,,1.854000e+00,,,,,3.722868e+01,-1.107461e+00,6.472000e+00,3.070000e+02,,,,,,,,,,,,
J1904+0621g,RRAT,,1.232000e+00,,,,,4.011683e+01,-8.929226e-02,4.150000e+00,1.730000e+02,,,,,,,,,,,,
J1905+0156g,RRAT,,1.085000e+00,,,,,3.621578e+01,-2.162756e+00,4.476000e+00,1.370000e+02,,,,,,,,,,,,
J1905+0414,RRAT,,,,,,,3.824557e+01,-1.079024e+00,9.081000e+00,3.830000e+02,,,,,,,,,,,,
J1905+0558g,RRAT,,8.460000e-01,,,,,3.979337e+01,-2.983653e-01,6.544000e+00,4.720000e+02,,,,,,,,,,,,
J1906+0335g,RRAT,,1.296000e+00,,,,,3.787395e+01,-1.776190e+00,6.073000e+00,2.130000e+02,,,,,,,,,,,,
J1907+0555g,RRAT,,3.159000e+00,,,,,4.002130e+01,-8.477001e-01,4.062000e+00,1.500000e+02,,,,,,,,,,,,
J1908+0911g,RRAT,,5.166000e+00,,,,,4.300120e+01,5.020739e-01,3.863000e+00,1.320000e+02,,,,,,,,,,,,
J1909+0641,RRAT,3.645432e+06,7.417620e-01,3.223900e-15,1.564851e+12,,,4.094108e+01,-9.399926e-01,1.325000e+00,3.670000e+01,,,,,,,,,,,,
J1911+00,RRAT,,6.940000e+00,,,,,3.580785e+01,-4.246987e+00,4.047000e+00,1.000000e+02,,,,,,,,,,,,
J1911+0310g,RRAT,,1.333000e+00,,,,,3.802019e+01,-2.965096e+00,6.181000e+00,1.677000e+02,,,,,,,,,,,,
J1911+1017g,RRAT,,1.337000e+00,,,,,4.432389e+01,3.428847e-01,4.439000e+00,1.620000e+02,,,,,,,,,,,,
J1912+1000g,RRAT,,3.053000e+00,,,,,4.425121e+01,-1.300219e-01,4.090000e+00,1.470000e+02,,,,,,,,,,,,
