Pulsar ID,Pulsar Class,Age,Period (P),Period Derivative (P˙),Magnetic Field (B),Initial Period (Pinit​),Initial B Field (Binit​),Galactic Longitude (l),Galactic Latitude (b),Distance,Dispersion Measure (DM),"Proper Motion (μl​,μb​)",Kick Velocity,Is Binary,Orbital Period (Pb​),Companion Mass (Mc​),Eccentricity (e),Radio Luminosity (L1400​),Single-Pulse Lum. Dist.,Radio Beaming Fraction,Viewing Angle (ζ),Inclination Angle (α),Nulling Fraction (NF)
J1847+0110g,MSP,,6.530000e-03,,,,,3.350828e+01,1.433992e+00,4.582000e+00,1.834000e+02,,,,,,,,,,,,
J1849+0016g,MSP,,1.810000e-03,,,,,3.300154e+01,4.489416e-01,4.579000e+00,2.714000e+02,,,,,,,,,,,,
J1850+0124,MSP,5.175430e+09,3.559764e-03,1.089785e-20,1.993109e+08,,,3.402462e+01,9.588145e-01,3.385000e+00,1.188800e+02,,,ELL1,,,6.900355e-05,,,,,,
J1850+0242,MSP,4.366326e+08,4.479864e-03,1.625604e-19,8.635545e+08,,,3.526491e+01,1.403281e+00,1.231100e+01,5.400680e+02,,,ELL1,,,9.008885e-05,,,,,,
J1852+0309g,MSP,,5.580000e-03,,,,,3.582076e+01,1.270126e+00,7.138000e+00,3.580000e+02,,,,,,,,,,,,
J1852+1200,MSP,,3.865667e-03,,,,,4.381253e+01,5.105938e+00,2.362000e+00,6.805000e+01,,,,,,,,,,,,
J1852-0044g,MSP,,2.410000e-03,,,,,3.239462e+01,-5.595554e-01,4.492000e+00,2.729000e+02,,,,,,,,,,,,
J1852-1310,HE,6.706870e+09,4.314656e-03,1.019277e-20,2.122116e+08,,,2.126711e+01,-6.154136e+00,1.266000e+00,4.496000e+01,,4.106043e+01,,,,,,,,,,
J1853+1303,MSP,7.437141e+09,4.091797e-03,8.717142e-21,1.911147e+08,,,4.487452e+01,5.366949e+00,1.886779e+00,3.050000e+01,,3.018376e+01,ELL1H,,,2.369456e-05,,,,,,
J1853-0008g,MSP,,2.820000e-03,,,,,3.301413e+01,-4.528570e-01,4.554000e+00,2.853000e+02,,,,,,,,,,,,
J1853-0842A,MSP,,2.149433e-03,-2.393192e-21,,,,2.535197e+01,-4.317940e+00,7.400000e+00,1.551250e+02,,1.953448e+02,BT,,,,,,,,,
