Pulsar ID,Pulsar Class,Age,Period (P),Period Derivative (P˙),Magnetic Field (B),Initial Period (Pinit​),Initial B Field (Binit​),Galactic Longitude (l),Galactic Latitude (b),Distance,Dispersion Measure (DM),"Proper Motion (μl​,μb​)",Kick Velocity,Is Binary,Orbital Period (Pb​),Companion Mass (Mc​),Eccentricity (e),Radio Luminosity (L1400​),Single-Pulse Lum. Dist.,Radio Beaming Fraction,Viewing Angle (ζ),Inclination Angle (α),Nulling Fraction (NF)
J1748-2446ae,,,3.658590e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.386100e+02,,1.759187e+02,BT,,,,,,,,,
J1748-2446af,,,3.304340e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.373500e+02,,1.759187e+02,,,,,,,,,,
J1748-2446ag,,,4.448030e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.372800e+02,,1.759187e+02,,,,,,,,,,
J1748-2446ah,,,4.965150e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.377000e+02,,1.759187e+02,,,,,,,,,,
J1748-2446ai,,,2.122838e-02,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.340200e+02,,1.759187e+02,BT,,,4.400000e-01,,,,,,
J1748-2446aj,,3.319441e+08,2.958910e-03,1.412319e-19,6.541573e+08,,,3.842116e+00,1.687686e+00,6.620000e+00,2.386330e+02,,1.759187e+02,,,,,,,,,,
J1748-2446ak,,3.384045e+08,1.890107e-03,8.849448e-20,4.138579e+08,,,3.838817e+00,1.691556e+00,6.620000e+00,2.367050e+02,,1.759187e+02,,,,,,,,,,
J1748-2446al,,,5.950000e-03,,,,,3.840621e+00,1.708923e+00,6.620000e+00,2.364800e+02,,1.759187e+02,,,,,,,,,,
J1748-2446am,,,2.933820e-03,-1.367958e-19,,,,3.838806e+00,1.686525e+00,6.620000e+00,2.381930e+02,,1.759187e+02,DD,,,2.047360e-01,,,,,,
J1748-2446an,,4.885585e+08,4.802338e-03,1.557407e-19,8.751397e+08,,,3.841670e+00,1.684560e+00,6.620000e+00,2.377360e+02,,1.759187e+02,DD,,,6.585600e-03,,,,,,
J1748-2446ao,,4.142992e+08,2.274379e-03,8.697906e-20,4.500790e+08,,,3.842071e+00,1.687065e+00,4.395000e+00,2.382050e+02,,1.142197e+02,DDFWHE,,,3.248890e-01,,,,,,
J1748-2446ap,,1.932605e+08,3.744693e-03,3.070005e-19,1.084995e+09,,,3.843547e+00,1.688030e+00,4.410000e+00,2.397400e+02,,1.242715e+02,DDFWHE,,,9.051860e-01,,,,,,
J1748-2446aq,,,1.252194e-02,-7.162063e-19,,,,3.839681e+00,1.687446e+00,4.402000e+00,2.389410e+02,,1.150281e+02,BTX,,,0.000000e+00,,,,,,
J1748-2446ar,,,1.952811e-03,-2.646548e-19,,,,3.838828e+00,1.687463e+00,4.400000e+00,2.386640e+02,,,BTX,,,0.000000e+00,,,,,,
J1748-2446as,,1.439958e+08,2.326455e-03,2.559829e-19,7.809133e+08,,,3.840149e+00,1.688059e+00,4.396000e+00,2.382110e+02,,2.535452e+02,,,,,,,,,,
J1748-2446at,,,2.188185e-03,-5.899668e-20,,,,3.839892e+00,1.684798e+00,4.405000e+00,2.394690e+02,,,BTX,,,0.000000e+00,,,,,,
J1748-2446au,,,4.548215e-03,-1.067970e-19,,,,3.838841e+00,1.686176e+00,4.393000e+00,2.380800e+02,,1.184198e+02,DDFWHE,,,2.569500e-02,,,,,,
J1748-2446av,,,1.849449e-03,-4.250473e-20,,,,3.840113e+00,1.686417e+00,4.401000e+00,2.389090e+02,,,ELL1H,,,2.550020e-04,,,,,,
J1748-2446aw,,1.582516e+07,1.304908e-02,1.306465e-17,1.321261e+10,,,3.839283e+00,1.684209e+00,4.403000e+00,2.393100e+02,,,ELL1H,,,8.515868e-05,,,,,,
J1748-2446ax,,,1.943498e-03,-9.549519e-21,,,,3.836780e+00,1.686883e+00,4.368000e+00,2.354490e+02,,3.769238e+02,DD,,,9.154200e-03,,,,,,
J1750-3116A,,,5.332901e-03,,,,,3.585781e+02,-2.156186e+00,1.542300e+01,3.830800e+02,,,,,,,,,,,,
J1750-3703A,,3.123667e+08,1.116008e-01,5.660682e-18,2.543420e+10,,,3.535321e+02,-5.008735e+00,1.273000e+01,2.338200e+02,,3.576872e+02,BT,,,7.124310e-01,,,,,,
J1750-3703B,,5.015903e+09,6.074542e-03,1.918803e-20,3.454793e+08,,,3.535265e+02,-5.005768e+00,1.273000e+01,2.343910e+02,,3.576872e+02,BT,,,4.046000e-03,,,,,,
J1750-3703C,,,2.656868e-02,-9.960174e-19,,,,3.535328e+02,-5.006982e+00,1.273000e+01,2.306700e+02,,3.576872e+02,,,,,,,,,,
J1750-3703D,,1.652657e+08,5.139937e-03,4.927663e-19,1.610458e+09,,,3.535320e+02,-5.006070e+00,1.273000e+01,2.300900e+02,,3.576872e+02,,,,,,,,,,
J1801-0857A,,,7.175614e-03,-5.099205e-19,,,,1.922517e+01,6.762335e+00,9.200000e+00,1.826550e+02,,2.063563e+02,,,,,,,,,,
J1801-0857B,,2.082493e+08,2.896159e-02,2.203458e-18,8.083763e+09,,,1.922485e+01,6.762370e+00,9.200000e+00,1.824020e+02,,2.063563e+02,BT,,,3.822590e-02,,,,,,
J1801-0857C,,,3.738700e-03,-6.298151e-20,,,,1.922522e+01,6.761759e+00,9.200000e+00,1.823560e+02,,2.063563e+02,,,,,,,,,,
J1801-0857D,,8.902185e+09,4.226532e-03,7.522351e-21,1.804342e+08,,,1.923656e+01,6.746229e+00,9.200000e+00,1.745370e+02,,2.063563e+02,,,,,,,,,,
J1801-0857E,,,7.601670e-03,-1.035977e-18,,,,1.922534e+01,6.762365e+00,9.200000e+00,1.831840e+02,,2.063563e+02,,,,,,,,,,
J1801-0857F,,,2.489199e-02,-2.670833e-18,,,,1.922559e+01,6.761946e+00,9.200000e+00,1.837850e+02,,2.063563e+02,,,,,,,,,,
J1801-0857G,,7.658516e+09,5.159137e-02,1.067329e-19,2.374585e+09,,,1.922522e+01,6.764771e+00,9.200000e+00,1.850600e+02,,2.063563e+02,,,,,,,,,,
J1801-0857H,,2.604705e+09,5.642723e-03,3.432387e-20,4.453408e+08,,,1.922594e+01,6.753409e+00,9.200000e+00,1.796340e+02,,2.063563e+02,,,,,,,,,,
