Pulsar ID,Pulsar Class,Age,Period (P),Period Derivative (P˙),Magnetic Field (B),Initial Period (Pinit​),Initial B Field (Binit​),Galactic Longitude (l),Galactic Latitude (b),Distance,Dispersion Measure (DM),"Proper Motion (μl​,μb​)",Kick Velocity,Is Binary,Orbital Period (Pb​),Companion Mass (Mc​),Eccentricity (e),Radio Luminosity (L1400​),Single-Pulse Lum. Dist.,Radio Beaming Fraction,Viewing Angle (ζ),Inclination Angle (α),Nulling Fraction (NF)
J1855+0327g,,,7.828200e-01,,,,,3.649367e+01,6.145740e-01,5.340000e+00,2.986000e+02,,,,,,,,,,,,
J1855+0339g,,,1.761340e+00,,,,,3.666597e+01,7.169103e-01,6.861000e+00,4.162000e+02,,,,,,,,,,,,
J1855+0422,,2.861097e+07,1.678106e+00,9.292935e-16,1.263677e+12,,,3.731426e+01,1.052048e+00,1.094900e+01,4.556000e+02,,,,,,,,,,,,
J1855+0424g,,,2.220250e+00,,,,,3.725394e+01,1.214262e+00,1.739500e+01,6.785000e+02,,,,,,,,,,,,
J1855+0455g,,,1.010100e-01,,,,,3.774235e+01,1.394289e+00,1.025200e+01,3.729000e+02,,,,,,,,,,,,
J1855+0511g,,,1.421470e+00,,,,,3.797412e+01,1.526881e+00,8.770000e+00,2.921000e+02,,,,,,,,,,,,
J1855+0527,,8.262669e+04,1.393484e+00,2.672070e-13,1.952653e+13,,,3.822748e+01,1.642164e+00,1.164200e+01,3.588000e+02,,,,,,,,,,,,
J1855+0626,,,5.288321e-01,,,,,3.912521e+01,2.054830e+00,9.343000e+00,2.538000e+02,,,,,,,,,,,,
J1855+0700,,5.453521e+06,2.586846e-01,7.515532e-16,4.461852e+11,,,3.961255e+01,2.337456e+00,1.059600e+01,2.472000e+02,,,,,,,,,,,,
J1855-0054g,RRAT,,,,,,,3.257676e+01,-1.280754e+00,9.059000e+00,5.770000e+02,,,,,,,,,,,,
J1855-0154g,RRAT,,,,,,,3.166351e+01,-1.691895e+00,7.341000e+00,4.170000e+02,,,,,,,,,,,,
J1855-0211g,RRAT,,,,,,,3.145477e+01,-1.906185e+00,5.928000e+00,3.040000e+02,,,,,,,,,,,,
J1855-0941,,2.290592e+07,3.454013e-01,2.389143e-16,2.906920e+11,,,2.472143e+01,-5.240653e+00,6.114000e+00,1.519900e+02,,,,,,,,,,,,
J1855-1436,HE,5.224307e+09,3.594092e-03,1.090000e-20,2.002893e+08,,,2.035938e+01,-7.570149e+00,5.127000e+00,1.092080e+02,,,DD,,,2.974000e-04,,,,,,
J1856+0011g,,,9.284700e-01,,,,,3.370646e+01,-1.109406e+00,6.921000e+00,4.542000e+02,,,,,,,,,,,,
J1856+0029g,RRAT,,3.760000e-01,,,,,3.397537e+01,-9.762622e-01,4.727000e+00,2.340000e+02,,,,,,,,,,,,
J1856+0102,,8.043439e+06,6.202171e-01,1.221710e-15,8.808579e+11,,,3.442849e+01,-6.479884e-01,6.543000e+00,5.544000e+02,,,,,,,,,,,,
J1856+0113,HE,2.033658e+04,2.674396e-01,2.083598e-13,7.553875e+12,,,3.456034e+01,-4.968045e-01,3.300000e+00,9.610000e+01,,,,,,,,,,,,
J1856+0211g,,2.008962e+08,9.890092e+00,7.800000e-16,2.810590e+12,,,3.551061e+01,-2.376745e-01,3.338000e+00,1.274000e+02,,,,,,,,,,,,
J1856+0243g,,,5.466000e-01,,,,,3.587147e+01,2.207458e-01,3.991000e+00,1.814000e+02,,,,,,,,,,,,
J1856+0245,,2.063669e+04,8.090669e-02,6.211700e-14,2.268545e+12,,,3.600753e+01,5.712882e-02,6.318000e+00,6.235000e+02,,,,,,,,,,,,
J1856+0404,,1.795299e+08,4.202522e-01,3.708849e-17,1.263353e+11,,,3.712780e+01,7.452945e-01,6.252000e+00,3.445000e+02,,,,,,,,,,,,
J1856+0528g,RRAT,,,,,,,3.836069e+01,1.393817e+00,9.031000e+00,3.070000e+02,,,,,,,,,,,,
J1856+0615g,,,3.269700e-01,,,,,3.908842e+01,1.691814e+00,1.162000e+01,3.357000e+02,,,,,,,,,,,,
J1856+0912,,1.308553e+07,2.170701e+00,2.628300e-15,2.417060e+12,,,4.171469e+01,3.058075e+00,9.732000e+00,1.926000e+02,,,,,,,,,,,,
J1856-0526,,3.536816e+06,3.704843e-01,1.659677e-15,7.934995e+11,,,2.863630e+01,-3.574868e+00,4.037000e+00,1.319755e+02,,,,,,,,,,,,
J1856-3754,XINS,3.755393e+06,7.055203e+00,2.976598e-14,1.466442e+13,,,3.585986e+02,-1.721457e+01,1.600000e-01,,,2.512612e+02,,,,,,,,,,
J1857+0057,,1.026617e+08,3.569290e-01,5.508577e-17,1.418929e+11,,,3.441722e+01,-8.050361e-01,2.512000e+00,8.239000e+01,,,,,,,,,,,,
J1857+0143,HE,7.104737e+04,1.397601e-01,3.116744e-14,2.111991e+12,,,3.516817e+01,-5.705742e-01,4.569000e+00,2.494000e+02,,,,,,,,,,,,
